ProbeSetID,gene_short_name,Control_rep1,Control_rep2,Control_rep3,RBP2_rep1,RBP2_rep2,RBP2_rep3
XLOC_015426,C3orf80,0.433399,0.462676,0.2546,0.910189,0.987623,0.504619
XLOC_015427,SMC4,16.9449,13.4903,9.18482,26.0215,26.4143,31.2542
XLOC_015428,MIR15B,0,0,0,0,0,0
XLOC_015429,MIR16-2,0,0,0,0,0,0
XLOC_015430,ARL14,0.250802,0,0,1.86674,1.66989,1.51935
XLOC_015431,PPM1L,2.7935,3.35062,2.97102,2.29667,2.40984,2.29021
XLOC_015432,NMD3,76.3186,56.6837,42.9754,126.188,129.124,106.741
XLOC_015433,OTOL1,0,0,0,0,0,0
XLOC_015434,SERPINI1,0.0463446,0.0463606,0.0510367,0.0788813,0.154421,0.0449429
XLOC_015435,LOC646168,0,0,0,0,0,0
XLOC_015436,EGFEM1P,0,0,0,0,0,0
XLOC_015437,MIR551B,0,0,0,0,0,0
XLOC_015438,MYNN,4.68707,3.97862,2.86156,6.34206,5.92272,5.51593
XLOC_015439,LRRIQ4,0,0,0,0,0.0702993,0
XLOC_015440,SAMD7,0,0,0,0,0,0
XLOC_015441,SEC62,6.56955,4.58521,3.46307,16.7972,17.5897,14.9519
XLOC_015442,GPR160,25.1922,15.442,9.74839,32.1331,32.2464,19.3365
XLOC_015443,PRKCI,11.1669,9.19192,6.04566,11.8794,12.3116,12.4248
XLOC_015444,SKIL,3.52675,2.74418,0.96665,7.39964,7.64281,7.73228
XLOC_015445,CLDN11,0,0,0,0.0685595,0,0.0520882
XLOC_015446,TMEM212,0,0,0,0,0,0
XLOC_015447,FNDC3B,4.6349,3.71271,2.50943,15.6474,16.4156,15.4139
XLOC_015448,ECT2,22.4967,16.3493,10.8524,24.4587,24.2625,29.2977
XLOC_015449,NLGN1,0,0,0,0,0,0
XLOC_015450,NAALADL2,0.380261,0.292868,0.225571,0.31142,0.536891,0.482694
XLOC_015451,MIR4789,0,0,0,0,0,0
XLOC_015452,LINC00578,1.0004,1.13353,1.32169,0.794157,0.832437,1.22808
XLOC_015453,KCNMB2-IT1,0,0,0.209592,0,0,0
XLOC_015454,KCNMB2,0,0,0,0,0,0
XLOC_015455,PIK3CA,4.10035,3.16208,2.20442,6.39902,5.69467,7.90205
XLOC_015456,ZNF639,10.9528,7.90429,7.45969,13.6355,13.4351,13.9264
XLOC_015457,MFN1,15.3939,11.5212,7.84944,17.9212,18.609,21.1499
XLOC_015458,ACTL6A,83.9333,90.2497,106.715,62.7969,63.5943,62.4535
XLOC_015459,NDUFB5,115.879,109.269,119.78,67.8056,65.0525,69.1278
XLOC_015460,USP13,7.65551,6.28123,5.42627,4.6972,4.52731,5.44009
XLOC_015461,TTC14,3.64952,3.15429,1.81739,6.38243,6.31734,6.66629
XLOC_015462,FXR1,8.78553,6.28166,4.11202,11.4584,10.9522,12.6759
XLOC_015463,SOX2-OT,0.0619081,0.0234745,0,0.0351079,0.0391164,0.022758
